cod_munic;Município;nasc_vivos
2900108;Abaíra;46
2900207;Abaré;318
2900306;Acajutiba;159
2900355;Adustina;143
2900405;Água Fria;127
2900603;Aiquara;44
2900702;Alagoinhas;2136
2900801;Alcobaça;333
2900900;Almadina;59
2901007;Amargosa;459
2901106;Amélia Rodrigues;175
2901155;América Dourada;209
2901205;Anagé;241
2901304;Andaraí;180
2901353;Andorinha;177
2901403;Angical;184
2901502;Anguera;53
2901601;Antas;153
2901700;Antônio Cardoso;141
2901809;Antônio Gonçalves;160
2901908;Aporá;169
2901957;Apuarema;103
2902054;Araçás;151
2902005;Aracatu;158
2902104;Araci;661
2902203;Aramari;100
2902252;Arataca;139
2902302;Aratuípe;135
2902401;Aurelino Leal;190
2902500;Baianópolis;186
2902609;Baixa Grande;204
2902658;Banzaê;161
2902708;Barra;834
2902807;Barra da Estiva;421
2902906;Barra do Choça;540
2903003;Barra do Mendes;148
2903102;Barra do Rocha;59
2903201;Barreiras;2545
2903235;Barro Alto;156
2903300;Barro Preto;61
2903276;Barrocas;170
2903409;Belmonte;316
2903508;Belo Campo;219
2903607;Biritinga;214
2903706;Boa Nova;176
2903805;Boa Vista do Tupim;234
2903904;Bom Jesus da Lapa;1087
2903953;Bom Jesus da Serra;125
2904001;Boninal;180
2904050;Bonito;245
2904100;Boquira;247
2904209;Botuporã;132
2904308;Brejões;139
2904407;Brejolândia;98
2904506;Brotas de Macaúbas;146
2904605;Brumado;856
2904704;Buerarema;202
2904753;Buritirama;310
2904803;Caatiba;66
2904852;Cabaceiras do Paraguaçu;208
2904902;Cachoeira;360
2905008;Caculé;310
2905107;Caém;149
2905156;Caetanos;122
2905206;Caetité;676
2905305;Cafarnaum;241
2905404;Cairu;303
2905503;Caldeirão Grande;191
2905602;Camacan;345
2905701;Camaçari;3893
2905800;Camamu;570
2905909;Campo Alegre de Lourdes;516
2906006;Campo Formoso;1122
2906105;Canápolis;128
2906204;Canarana;306
2906303;Canavieiras;431
2906402;Candeal;62
2906501;Candeias;975
2906600;Candiba;169
2906709;Cândido Sales;341
2906808;Cansanção;466
2906824;Canudos;210
2906857;Capela do Alto Alegre;103
2906873;Capim Grosso;447
2906899;Caraíbas;88
2906907;Caravelas;267
2907004;Cardeal da Silva;108
2907103;Carinhanha;439
2907202;Casa Nova;985
2907301;Castro Alves;305
2907400;Catolândia;42
2907509;Catu;467
2907558;Caturama;83
2907608;Central;202
2907707;Chorrochó;141
2907806;Cícero Dantas;315
2907905;Cipó;274
2908002;Coaraci;195
2908101;Cocos;274
2908200;Conceição da Feira;238
2908309;Conceição do Almeida;161
2908408;Conceição do Coité;971
2908507;Conceição do Jacuípe;349
2908606;Conde;323
2908705;Condeúba;212
2908804;Contendas do Sincorá;42
2908903;Coração de Maria;223
2909000;Cordeiros;80
2909109;Coribe;148
2909208;Coronel João Sá;203
2909307;Correntina;421
