cod_munic;Município;obitos_infantis
2900108;Abaíra;1
2900207;Abaré;3
2900306;Acajutiba;4
2900355;Adustina;3
2900405;Água Fria;1
2900603;Aiquara;0
2900702;Alagoinhas;25
2900801;Alcobaça;2
2900900;Almadina;3
2901007;Amargosa;1
2901106;Amélia Rodrigues;5
2901155;América Dourada;5
2901205;Anagé;5
2901304;Andaraí;4
2901353;Andorinha;2
2901403;Angical;4
2901502;Anguera;2
2901601;Antas;2
2901700;Antônio Cardoso;3
2901809;Antônio Gonçalves;1
2901908;Aporá;1
2901957;Apuarema;1
2902054;Araçás;2
2902005;Aracatu;2
2902104;Araci;8
2902203;Aramari;0
2902252;Arataca;1
2902302;Aratuípe;5
2902401;Aurelino Leal;6
2902500;Baianópolis;0
2902609;Baixa Grande;1
2902658;Banzaê;5
2902708;Barra;15
2902807;Barra da Estiva;4
2902906;Barra do Choça;10
2903003;Barra do Mendes;4
2903102;Barra do Rocha;0
2903201;Barreiras;35
2903235;Barro Alto;3
2903300;Barro Preto;1
2903276;Barrocas;3
2903409;Belmonte;5
2903508;Belo Campo;7
2903607;Biritinga;6
2903706;Boa Nova;4
2903805;Boa Vista do Tupim;1
2903904;Bom Jesus da Lapa;15
2903953;Bom Jesus da Serra;2
2904001;Boninal;1
2904050;Bonito;1
2904100;Boquira;2
2904209;Botuporã;2
2904308;Brejões;2
2904407;Brejolândia;2
2904506;Brotas de Macaúbas;2
2904605;Brumado;6
2904704;Buerarema;4
2904753;Buritirama;7
2904803;Caatiba;0
2904852;Cabaceiras do Paraguaçu;9
2904902;Cachoeira;4
2905008;Caculé;4
2905107;Caém;2
2905156;Caetanos;0
2905206;Caetité;5
2905305;Cafarnaum;3
2905404;Cairu;7
2905503;Caldeirão Grande;4
2905602;Camacan;8
2905701;Camaçari;68
2905800;Camamu;9
2905909;Campo Alegre de Lourdes;9
2906006;Campo Formoso;14
2906105;Canápolis;1
2906204;Canarana;5
2906303;Canavieiras;6
2906402;Candeal;2
2906501;Candeias;22
2906600;Candiba;3
2906709;Cândido Sales;4
2906808;Cansanção;4
2906824;Canudos;8
2906857;Capela do Alto Alegre;3
2906873;Capim Grosso;7
2906899;Caraíbas;0
2906907;Caravelas;4
2907004;Cardeal da Silva;0
2907103;Carinhanha;3
2907202;Casa Nova;24
2907301;Castro Alves;0
2907400;Catolândia;0
2907509;Catu;8
2907558;Caturama;4
2907608;Central;5
