pais;codigo;ano;expectativa_vida;pib_per_capita;populacao;continente
Sweden;SWE;1760;39,66;1669;1915530;Europe
Sweden;SWE;1770;36,6;1454;2036525;Europe
Sweden;SWE;1780;42,64;1594;2103908;Europe
Sweden;SWE;1790;33,55;1602;2188343;Europe
Sweden;SWE;1800;32,13;1366;2500000;Europe
Sweden;SWE;1801;36,85;1353;2489400;Europe
Sweden;SWE;1802;40,13;1417;2478845;Europe
Sweden;SWE;1803;40,19;1403;2468335;Europe
United Kingdom;GBR;1803;40,02;3252;11102331;Europe
Sweden;SWE;1804;39,65;1312;2457869;Europe
Sweden;SWE;1805;41;1395;2447448;Europe
Sweden;SWE;1806;36,14;1411;2437070;Europe
Sweden;SWE;1807;38,72;1352;2426737;Europe
Sweden;SWE;1808;30,13;1280;2416448;Europe
United Kingdom;GBR;1808;40,58;3250;11715397;Europe
Sweden;SWE;1809;26,86;1221;2406202;Europe
Sweden;SWE;1810;31,94;1320;2412437;Europe
Sweden;SWE;1811;34,54;1417;2418704;Europe
Sweden;SWE;1812;35,05;1328;2430522;Europe
Sweden;SWE;1813;36,46;1352;2447906;Europe
United Kingdom;GBR;1813;41,25;3328;14263733;Europe
Sweden;SWE;1814;38,55;1363;2465415;Europe
Sweden;SWE;1815;40,41;1411;2483049;Europe
Sweden;SWE;1816;41,73;1438;2500810;Europe
Sweden;SWE;1817;40,27;1396;2518697;Europe
Sweden;SWE;1818;39,98;1407;2536713;Europe
United Kingdom;GBR;1818;40,84;3201;18999980;Europe
Sweden;SWE;1819;36,93;1395;2556937;Europe
France;FRA;1820;39,23;1809;31299931;Europe
Sweden;SWE;1820;40,21;1415;2579409;Europe
France;FRA;1821;39,84;1953;31466736;Europe
Sweden;SWE;1821;38,12;1457;2604170;Europe
France;FRA;1822;38,31;1875;31650924;Europe
Sweden;SWE;1822;42,73;1465;2631258;Europe
France;FRA;1823;39,99;1934;31852668;Europe
Sweden;SWE;1823;45,16;1449;2660715;Europe
United Kingdom;GBR;1823;40,47;3359;22073986;Europe
