CD_MUN;nasc_vivos;obitos_infantis
2900108;46;1
2900207;318;3
2900306;159;4
2900355;143;3
2900405;127;1
2900603;44;0
2900702;2136;25
2900801;333;2
2900900;59;3
2901007;459;1
2901106;175;5
2901155;209;5
2901205;241;5
2901304;180;4
2901353;177;2
2901403;184;4
2901502;53;2
2901601;153;2
2901700;141;3
2901809;160;1
2901908;169;1
2901957;103;1
2902054;151;2
2902005;158;2
2902104;661;8
2902203;100;0
2902252;139;1
2902302;135;5
2902401;190;6
2902500;186;0
2902609;204;1
2902658;161;5
2902708;834;15
2902807;421;4
2902906;540;10
2903003;148;4
2903102;59;0
2903201;2545;35
2903235;156;3
2903300;61;1
2903276;170;3
2903409;316;5
2903508;219;7
2903607;214;6
2903706;176;4
2903805;234;1
2903904;1087;15
2903953;125;2
2904001;180;1
2904050;245;1
2904100;247;2
2904209;132;2
2904308;139;2
2904407;98;2
2904506;146;2
2904605;856;6
2904704;202;4
2904753;310;7
2904803;66;0
2904852;208;9
2904902;360;4
2905008;310;4
2905107;149;2
2905156;122;0
2905206;676;5
2905305;241;3
2905404;303;7
2905503;191;4
2905602;345;8
2905701;3893;68
2905800;570;9
2905909;516;9
2906006;1122;14
2906105;128;1
2906204;306;5
2906303;431;6
2906402;62;2
2906501;975;22
2906600;169;3
2906709;341;4
2906808;466;4
2906824;210;8
2906857;103;3
2906873;447;7
2906899;88;0
2906907;267;4
2907004;108;0
2907103;439;3
2907202;985;24
2907301;305;0
2907400;42;0
2907509;467;8
2907558;83;4
2907608;202;5
2907707;141;1
2907806;315;10
2907905;274;6
2908002;195;3
2908101;274;7
2908200;238;4
2908309;161;3
2908408;971;14
2908507;349;3
2908606;323;4
2908705;212;1
2908804;42;1
2908903;223;1
2909000;80;0
2909109;148;1
2909208;203;0
2909307;421;8
2909406;172;4
2909505;73;1
2909604;226;3
2909703;168;3
2909802;786;4
2909901;551;9
2910008;136;1
2910057;1046;13
2910107;122;0
2910206;52;1
2910305;84;1
2910404;273;4
2910503;510;11
2900504;108;3
2910602;497;9
2910701;824;11
2910727;1809;20
2910750;213;1
2910776;60;0
2910800;9465;131
2910859;233;6
2910909;50;0
2911006;90;2
2911105;424;6
2911204;429;8
2911253;47;0
2911303;141;1
2911402;223;0
2911501;70;2
2911600;278;3
2911659;63;0
2911709;1265;13
2911808;220;2
2911857;132;1
2911907;334;4
2912004;98;2
2912103;229;4
2912202;322;6
2912301;151;1
2912400;197;2
2912509;140;2
2912608;57;0
2912707;331;8
2912806;126;1
2912905;233;1
2913002;136;3
2913101;215;2
2913200;404;7
2913309;39;0
2913408;134;3
2913457;180;8
2913507;364;3
2913606;2281;59
2913705;405;12
2913804;123;1
2913903;602;7
2914000;695;8
2914109;92;2
2914208;65;0
2914307;105;0
2914406;367;6
2914505;296;3
2914604;1259;9
2914653;512;6
2914703;848;14
2914802;2333;37
2914901;409;8
2915007;197;1
2915106;202;3
2915205;152;2
2915304;54;0
2915353;180;3
2915403;74;4
2915502;213;2
2915601;985;15
2915700;131;1
2915809;267;4
2915908;94;2
2916005;187;1
2916104;262;4
2916203;113;3
2916302;105;1
2916401;959;17
2916500;322;6
2916609;72;2
2916708;85;0
2916807;207;6
2916856;153;1
2916906;139;2
2917003;511;11
2917102;203;9
2917201;203;3
2917300;293;1
2917334;131;3
2917359;139;1
2917409;121;2
2917508;1294;13
2917607;679;5
2917706;449;10
2917805;230;6
2917904;143;3
2918001;2240;32
2918100;492;7
2918209;141;2
2918308;184;2
2918357;404;7
2918407;4263;72
2918456;84;0
2918506;188;1
2918555;56;3
2918605;58;0
2918704;56;0
2919058;66;0
2918753;135;0
2918803;267;6
2918902;33;0
2919009;37;0
2919108;87;0
2919157;355;4
2919207;3013;35
2919306;137;4
2919405;156;1
2919504;564;6
2919553;2035;29
2919603;131;4
2919702;192;5
2919801;552;11
2919900;97;4
2919926;254;3
2919959;83;2
2920007;112;0
2920106;210;1
2920205;174;5
2920304;104;1
2920403;178;4
2920452;89;0
2920502;288;7
2920601;424;3
2920700;291;4
2920809;109;0
2920908;123;2
2921005;756;17
2921054;132;2
2921104;285;6
2921203;370;5
2921302;130;1
2921401;182;2
2921450;93;3
2921500;640;7
2921609;103;2
2921708;473;6
2921807;124;0
2921906;129;2
2922003;641;4
2922052;181;1
2922102;181;3
2922201;71;3
2922250;177;3
2922300;307;3
2922409;252;4
2922508;283;3
2922607;167;3
2922656;164;3
2922706;154;4
2922730;68;0
2922755;44;0
2922805;109;2
2922854;95;2
2922904;332;11
2923001;433;8
2923035;156;2
2923050;107;3
2923100;282;4
2923209;246;1
2923308;66;0
2923357;247;3
2923407;237;3
2923506;151;3
2923605;239;4
2923704;425;4
2923803;281;2
2923902;153;1
2924009;1749;25
2924058;148;2
2924108;76;3
2924207;190;3
2924306;239;1
2924405;604;9
2924504;148;0
2924603;262;4
2924652;72;1
2924678;95;4
2924702;93;3
2924801;205;3
2924900;78;1
2925006;296;4
2925105;650;10
2925204;418;4
2925253;257;5
2925303;2762;23
2925402;106;2
2925501;521;8
2925600;149;1
2925709;122;1
2925758;384;6
2925808;333;2
2925907;301;8
2925931;98;1
2925956;213;4
2926004;647;11
2926103;175;1
2926202;299;11
2926301;383;3
2926400;339;5
2926509;177;3
2926608;731;13
2926657;107;3
2926707;137;4
2926806;130;1
2926905;85;2
2927002;469;8
2927101;184;2
2927200;412;6
2927309;191;1
2927408;30149;445
2927507;230;3
2927606;205;0
2927705;453;3
2927804;58;1
2927903;103;1
2928059;161;3
2928109;523;10
2928406;386;8
2928505;148;4
2928000;529;5
2928208;302;5
2928307;55;0
2928604;578;4
2928703;1320;25
2928802;638;9
2928901;548;11
2928950;70;0
2929107;212;1
2929008;155;1
2929057;250;1
2929206;563;10
2929255;223;3
2929305;341;8
2929354;82;2
2929370;128;2
2929404;113;3
2929503;456;7
2929602;210;1
2929701;172;4
2929750;134;3
2929800;109;2
2929909;623;7
2930006;82;1
2930105;1010;14
2930204;499;6
2930154;565;7
2930303;216;3
2930402;88;0
2930501;1145;13
2930600;155;0
2930709;1749;30
2930758;190;4
2930766;137;0
2930774;433;8
2930808;233;3
2930907;135;3
2931004;253;4
2931053;198;0
2931103;74;0
2931202;215;3
2931301;243;2
2931350;2547;16
2931400;70;0
2931509;263;1
2931608;178;4
2931707;108;1
2931806;171;0
2931905;567;4
2932002;337;7
2932101;199;2
2932200;255;5
2932309;204;1
2932408;149;0
2932457;207;3
2932507;237;4
2932606;163;2
2932705;297;7
2932804;221;0
2932903;1371;23
2933000;263;4
2933059;120;3
2933109;88;1
2933158;174;2
2933174;99;1
2933208;552;7
2933257;70;0
2933307;5174;53
2933406;99;1
2933455;164;1
2933505;296;1
2933604;856;10
