pais;codigo;anpo;expectativa_vida;pib_per_capita;populacao;continente
Afghanistan;AFG;1300;;;1749998;
Albania;ALB;1300;;;200000;
Algeria;DZA;1300;;;1684987;
American Samoa;ASM;1300;;;355;
Andorra;AND;1300;;;1585;
Angola;AGO;1300;;;1506003;
Anguilla;AIA;1300;;;724;
Antigua and Barbuda;ATG;1300;;;5894;
Argentina;ARG;1300;;;260000;
Armenia;ARM;1300;;;218000;
Aruba;ABW;1300;;;62;
Australia;AUS;1300;;;251185;
Austria;AUT;1300;;;2000000;
Azerbaijan;AZE;1300;;;464999;
Bahamas;BHS;1300;;;3559;
Bahrain;BHR;1300;;;17534;
Bangladesh;BGD;1300;;;7967992;
Barbados;BRB;1300;;;312;
Belarus;BLR;1300;;;432000;
Belgium;BEL;1300;;;1250000;
Belize;BLZ;1300;;;5785;
Benin;BEN;1300;;;2400000;
Bhutan;BTN;1300;;;11000;
Bolivia;BOL;1300;;;780000;
Bosnia and Herzegovina;BIH;1300;;;327999;
Botswana;BWA;1300;;;75138;
Brazil;BRA;1300;;;15028854;
Brunei;BRN;1300;;;4400;
Bulgaria;BGR;1300;;;1000000;
Burkina Faso;BFA;1300;;;1028040;
Burundi;BDI;1300;;;514799;
Cambodia;KHM;1300;;;1300000;
Cameroon;CMR;1300;;;1054957;
Canada;CAN;1300;;;159999;
Central African Republic;CAF;1300;;;254500;
Chad;TCD;1300;;;699998;
Chile;CHL;1300;;;519988;
China;CHN;1300;;;79967880;
Colombia;COL;1300;;;3355780;
Comoros;COM;1300;;;16000;
Congo;COG;1300;;;196473;
Costa Rica;CRI;1300;;;378125;
Cote d'Ivoire;CIV;1300;;;751339;
Croatia;HRV;1300;;;491999;
Cuba;CUB;1300;;;40860;
Cyprus;CYP;1300;;;200000;
Czechia;CZE;1300;;;2160000;
Democratic Republic of Congo;COD;1300;;;4416008;
Denmark;DNK;1300;;;600000;
Djibouti;DJI;1300;;;17280;
Dominica;DMA;1300;;;871;
Dominican Republic;DOM;1300;;;128000;
Ecuador;ECU;1300;;;520000;
Egypt;EGY;1300;;972;4700000;
El Salvador;SLV;1300;;;77092;
Equatorial Guinea;GNQ;1300;;;83151;
Eritrea;ERI;1300;;;88933;
Estonia;EST;1300;;;56498;
Eswatini;SWZ;1300;;;10080;
